City,Latitude,Longitudes,Elevation,Date,Precipitation,Temperature,HCHO_reading
Nuwara Eliya Proper,6.967,80.767,1880.0,2019-06-12,0.06,61,0.00014377792514349639
Nuwara Eliya Proper,6.967,80.767,1880.0,2020-10-10,0.17,60,2.5458995321655166e-05
Colombo Proper,6.9,79.867,7.0,2021-06-04,5.33,83,0.0001462945852084458
Colombo Proper,6.9,79.867,7.0,2022-05-02,0.14,87,2.5120632799905263e-05
Colombo Proper,6.9,79.867,7.0,2022-05-31,3.2,78,0.0001686478801291832
Colombo Proper,6.9,79.867,7.0,2022-06-09,0.07,83,8.745716217992345e-05
Nuwara Eliya Proper,6.967,80.767,1880.0,2019-11-11,0.09,60,0.00018166601187735831
Nuwara Eliya Proper,6.967,80.767,1880.0,2021-03-19,0.0,61,8.690963555406565e-05
Nuwara Eliya Proper,6.967,80.767,1880.0,2021-06-18,0.0,61,5.884733742402077e-05
Nuwara Eliya Proper,6.967,80.767,1880.0,2022-04-06,1.16,59,0.00010257726422151919
Nuwara Eliya Proper,6.967,80.767,1880.0,2023-05-05,0.96,60,0.00012220808123552005
Nuwara Eliya Proper,6.967,80.767,1880.0,2023-05-25,0.0,63,4.964501171995612e-05
Nuwara Eliya Proper,6.967,80.767,1880.0,2023-05-30,0.01,64,5.171295874666546e-05
Nuwara Eliya Proper,6.967,80.767,1880.0,2023-06-13,0.15,62,0.00019682683850376725
Nuwara Eliya Proper,6.967,80.767,1880.0,2023-10-31,0.63,62,7.550696322414387e-05
Colombo Proper,6.9,79.867,7.0,2021-02-25,0.0,82,0.00023258987082133857
Colombo Proper,6.9,79.867,7.0,2021-07-05,1.01,83,0.00034528832674984367
Colombo Proper,6.9,79.867,7.0,2021-08-06,0.0,84,4.0648579074643184e-05
Colombo Proper,6.9,79.867,7.0,2021-12-15,0.04,80,0.00014833642590848851
Colombo Proper,6.9,79.867,7.0,2022-02-08,0.0,82,0.00014950273528800714
Colombo Proper,6.9,79.867,7.0,2022-05-09,0.0,86,0.00027368326007155917
Colombo Proper,6.9,79.867,7.0,2022-06-25,0.0,84,3.9249972641674216e-05
Colombo Proper,6.9,79.867,7.0,2022-09-30,0.21,83,6.51366567243248e-05
Colombo Proper,6.9,79.867,7.0,2023-01-16,0.0,79,0.00027234112926240704
Colombo Proper,6.9,79.867,7.0,2023-05-08,0.2,85,6.270659318210136e-05
Colombo Proper,6.9,79.867,7.0,2023-07-24,0.24,83,7.420482356318856e-05
Colombo Proper,6.9,79.867,7.0,2023-11-20,0.7,81,0.00012095320493956542
Nuwara Eliya Proper,6.967,80.767,1880.0,2019-05-06,0.0,63,0.0001055412390811
Nuwara Eliya Proper,6.967,80.767,1880.0,2019-07-01,0.0,63,5.762188204561666e-05
Nuwara Eliya Proper,6.967,80.767,1880.0,2019-10-09,0.0,60,5.638555787137677e-05
Nuwara Eliya Proper,6.967,80.767,1880.0,2020-01-21,0.0,61,5.044574209023267e-06
Nuwara Eliya Proper,6.967,80.767,1880.0,2020-03-03,0.0,61,0.0001563871088153776
Nuwara Eliya Proper,6.967,80.767,1880.0,2020-06-17,0.0,62,0.00014445236630499582
Nuwara Eliya Proper,6.967,80.767,1880.0,2020-08-04,0.42,59,2.7037696054189335e-05
Nuwara Eliya Proper,6.967,80.767,1880.0,2020-09-14,0.3,60,9.596181311616123e-05
Nuwara Eliya Proper,6.967,80.767,1880.0,2020-09-20,0.65,59,8.851151977589482e-05
Nuwara Eliya Proper,6.967,80.767,1880.0,2021-11-08,0.72,59,0.00015199934246285
Nuwara Eliya Proper,6.967,80.767,1880.0,2021-11-14,0.04,60,0.00015921747959191448
Nuwara Eliya Proper,6.967,80.767,1880.0,2022-04-11,0.09,64,0.00015210491576084098
Nuwara Eliya Proper,6.967,80.767,1880.0,2022-05-01,0.09,62,0.00013276928433654712
Nuwara Eliya Proper,6.967,80.767,1880.0,2022-08-06,0.2,58,9.323265045440429e-05
Nuwara Eliya Proper,6.967,80.767,1880.0,2022-10-02,1.7,59,0.00021816654127883127
Nuwara Eliya Proper,6.967,80.767,1880.0,2023-08-03,0.0,62,0.0001416233448355077
Nuwara Eliya Proper,6.967,80.767,1880.0,2023-08-29,0.0,62,4.037988287493834e-05
Nuwara Eliya Proper,6.967,80.767,1880.0,2023-09-10,0.06,61,3.096950316270839e-05
Nuwara Eliya Proper,6.967,80.767,1880.0,2023-09-17,0.0,63,9.44443109989963e-05
Colombo Proper,6.9,79.867,7.0,2021-11-30,0.0,80,0.0005226186982595917
Colombo Proper,6.9,79.867,7.0,2022-09-04,0.14,80,8.963632004252892e-05
Colombo Proper,6.9,79.867,7.0,2022-10-20,0.18,82,7.301117473730344e-05
Colombo Proper,6.9,79.867,7.0,2022-12-14,0.0,80,0.0002459941971244442
Colombo Proper,6.9,79.867,7.0,2023-05-14,0.52,85,0.00010513324186189486
Nuwara Eliya Proper,6.967,80.767,1880.0,2019-06-09,0.0,63,0.00010429508276484942
Nuwara Eliya Proper,6.967,80.767,1880.0,2020-01-02,0.0,61,5.9153235073448345e-05
Nuwara Eliya Proper,6.967,80.767,1880.0,2020-03-19,0.0,64,0.00012132664130223473
Nuwara Eliya Proper,6.967,80.767,1880.0,2020-08-29,0.09,58,5.8350549629029256e-05
Nuwara Eliya Proper,6.967,80.767,1880.0,2021-03-21,0.0,64,9.820781173189283e-05
Nuwara Eliya Proper,6.967,80.767,1880.0,2021-08-04,0.0,61,0.00010233801345441176
Nuwara Eliya Proper,6.967,80.767,1880.0,2022-07-21,0.18,62,5.8986076638985476e-05
Nuwara Eliya Proper,6.967,80.767,1880.0,2023-02-08,0.0,58,9.00140755913648e-05
Nuwara Eliya Proper,6.967,80.767,1880.0,2023-05-10,0.01,64,0.0001265310827565105
Nuwara Eliya Proper,6.967,80.767,1880.0,2023-09-07,0.37,61,1.622322904289005e-05
Colombo Proper,6.9,79.867,7.0,2021-06-03,0.31,80,0.00012717389314072255
Colombo Proper,6.9,79.867,7.0,2021-07-15,0.0,84,0.00012423571832856112
Colombo Proper,6.9,79.867,7.0,2021-12-04,0.67,83,0.00016579187850975337
Colombo Proper,6.9,79.867,7.0,2022-02-13,0.76,78,0.0001832808502081279
Colombo Proper,6.9,79.867,7.0,2022-04-22,0.0,83,0.00020859806072265048
Colombo Proper,6.9,79.867,7.0,2022-04-28,2.8,83,0.0001702247955731384
Colombo Proper,6.9,79.867,7.0,2022-05-19,0.66,83,0.00010185633651367152
Colombo Proper,6.9,79.867,7.0,2023-03-18,0.0,82,0.0001657164287779484
Nuwara Eliya Proper,6.967,80.767,1880.0,2019-02-18,0.01,62,0.00017330924468628338
Nuwara Eliya Proper,6.967,80.767,1880.0,2019-10-31,0.0,61,0.00011807924190578489
Nuwara Eliya Proper,6.967,80.767,1880.0,2019-11-05,0.07,60,0.00011700540123233808
Nuwara Eliya Proper,6.967,80.767,1880.0,2020-02-13,0.5,59,0.0001020410445924351
Nuwara Eliya Proper,6.967,80.767,1880.0,2022-04-01,0.0,62,0.0001547276414333921
Nuwara Eliya Proper,6.967,80.767,1880.0,2022-05-22,0.04,61,3.7228685103745683e-05
Nuwara Eliya Proper,6.967,80.767,1880.0,2023-07-18,0.02,60,0.00017685470258552396
Nuwara Eliya Proper,6.967,80.767,1880.0,2023-09-11,0.14,59,4.0037332853606666e-05
Colombo Proper,6.9,79.867,7.0,2021-02-18,0.0,83,0.0003264424821823476
Colombo Proper,6.9,79.867,7.0,2021-03-15,0.17,84,0.00024264382654747024
Colombo Proper,6.9,79.867,7.0,2021-04-17,0.0,83,0.0001095241103588704
Colombo Proper,6.9,79.867,7.0,2021-09-18,0.01,83,0.0001457906424899059
Colombo Proper,6.9,79.867,7.0,2023-01-11,0.0,79,0.00022113900021108213
Colombo Proper,6.9,79.867,7.0,2023-02-03,0.0,80,0.00030680687405545477
Colombo Proper,6.9,79.867,7.0,2023-02-27,0.0,80,0.00011323634964118228
Nuwara Eliya Proper,6.967,80.767,1880.0,2019-05-08,0.0,62,5.81859056799875e-05
Nuwara Eliya Proper,6.967,80.767,1880.0,2019-07-09,0.0,64,0.00020827445434355057
Nuwara Eliya Proper,6.967,80.767,1880.0,2019-10-14,0.11,62,2.680059781088767e-05
Nuwara Eliya Proper,6.967,80.767,1880.0,2019-10-21,0.11,61,0.00017630883875036877
Nuwara Eliya Proper,6.967,80.767,1880.0,2020-01-14,0.0,57,0.00010085771890115634
Nuwara Eliya Proper,6.967,80.767,1880.0,2021-03-04,0.0,59,0.0001098576512754548
Nuwara Eliya Proper,6.967,80.767,1880.0,2022-08-17,0.06,63,9.623270204312524e-05
Nuwara Eliya Proper,6.967,80.767,1880.0,2023-12-27,0.35,61,0.00020991404921226679
Colombo Proper,6.9,79.867,7.0,2020-10-16,0.3,82,9.858052342680413e-05
Colombo Proper,6.9,79.867,7.0,2021-04-30,3.86,82,0.0001951219315353232
Colombo Proper,6.9,79.867,7.0,2021-07-01,0.02,83,0.00017769416105285296
Colombo Proper,6.9,79.867,7.0,2021-10-06,1.76,81,8.28833911291485e-05
Colombo Proper,6.9,79.867,7.0,2022-03-09,0.02,83,0.000415120426756822
Colombo Proper,6.9,79.867,7.0,2022-07-12,0.0,84,6.704650979059643e-06
Colombo Proper,6.9,79.867,7.0,2023-06-11,0.54,80,0.00013163249163337086
Nuwara Eliya Proper,6.967,80.767,1880.0,2019-02-10,0.99,62,5.539429507152505e-05
Nuwara Eliya Proper,6.967,80.767,1880.0,2019-11-10,2.37,61,0.00018363547769082133
Nuwara Eliya Proper,6.967,80.767,1880.0,2020-07-08,0.0,63,7.571017974874228e-05
Nuwara Eliya Proper,6.967,80.767,1880.0,2021-04-11,1.41,61,0.00019392371271909265
Nuwara Eliya Proper,6.967,80.767,1880.0,2021-08-01,0.0,62,8.151718282952519e-05
Nuwara Eliya Proper,6.967,80.767,1880.0,2021-08-03,0.0,61,0.00011113106647385155
Nuwara Eliya Proper,6.967,80.767,1880.0,2023-08-09,0.0,62,0.0001788975389710965
Nuwara Eliya Proper,6.967,80.767,1880.0,2023-10-26,0.0,60,7.029687652135527e-05
Colombo Proper,6.9,79.867,7.0,2020-10-23,0.0,84,7.105086143836031e-05
Colombo Proper,6.9,79.867,7.0,2020-12-04,0.21,80,3.9636452885990645e-06
Colombo Proper,6.9,79.867,7.0,2021-04-22,0.0,85,0.00018559748283013594
